name_en,name_it,region,currency,appeal_score,safety_index,green_score,cost_index,economic_accessibility,hotel_count,hotel_price_eur,attractions,districts,venues,source_url
Amsterdam,Amsterdam,western,EUR,63.2,72.5,78,85.0,15.0,6,157.25,10,5,8,https://en.wikivoyage.org/wiki/Amsterdam
Athens,Atene,southern,EUR,47.6,55.2,45,62.4,37.6,27,115.44,10,5,8,https://en.wikivoyage.org/wiki/Athens
Berlin,Berlino,western,EUR,62.3,60.8,82,74.2,25.8,21,137.27,10,5,8,https://en.wikivoyage.org/wiki/Berlin
Bratislava,Bratislava,eastern,EUR,61.7,68.4,65,58.1,41.9,25,107.49,10,0,8,https://en.wikivoyage.org/wiki/Bratislava
Brussels,Bruxelles,western,EUR,52.5,50.1,70,77.5,22.5,9,143.38,10,5,8,https://en.wikivoyage.org/wiki/Brussels
Bucharest,Bucarest,eastern,RON,60.3,70.3,55,48.9,51.1,41,90.47,10,0,8,https://en.wikivoyage.org/wiki/Bucharest
Budapest,Budapest,eastern,HUF,59.8,65.7,60,52.3,47.7,0,96.75,10,0,8,https://en.wikivoyage.org/wiki/Budapest
Copenhagen,Copenaghen,northern,DKK,66.0,74.1,85,88.3,11.7,10,163.35,10,5,8,https://en.wikivoyage.org/wiki/Copenhagen
Dublin,Dublino,northern,EUR,53.1,48.9,75,82.1,17.9,47,151.88,10,0,8,https://en.wikivoyage.org/wiki/Dublin
Helsinki,Helsinki,northern,EUR,70.4,76.8,90,81.5,18.5,10,150.78,10,5,8,https://en.wikivoyage.org/wiki/Helsinki
Lisbon,Lisbona,southern,EUR,63.2,70.2,68,60.5,39.5,8,111.93,10,5,8,https://en.wikivoyage.org/wiki/Lisbon
Ljubljana,Lubiana,southern,EUR,74.7,78.4,88,59.2,40.8,23,109.52,10,0,8,https://en.wikivoyage.org/wiki/Ljubljana
London,Londra,northern,GBP,49.2,46.2,68,82.5,17.5,0,152.62,10,5,8,https://en.wikivoyage.org/wiki/London
Luxembourg,Lussemburgo,western,EUR,62.9,73.5,77,86.4,13.6,0,159.84,10,5,8,https://en.wikivoyage.org/wiki/Luxembourg
Madrid,Madrid,southern,EUR,65.2,71.3,74,64.8,35.2,0,119.88,10,5,8,https://en.wikivoyage.org/wiki/Madrid
Nicosia,Nicosia,southern,EUR,50.9,67.9,40,61.2,38.8,14,113.22,10,0,8,https://en.wikivoyage.org/wiki/Nicosia
Oslo,Oslo,northern,NOK,69.0,75.1,92,89.2,10.8,0,165.02,10,5,8,https://en.wikivoyage.org/wiki/Oslo
Paris,Parigi,western,EUR,46.1,42.5,65,84.7,15.3,0,156.7,10,5,8,https://en.wikivoyage.org/wiki/Paris
Prague,Praga,eastern,CZK,70.0,75.6,78,57.4,42.6,0,106.19,10,5,8,https://en.wikivoyage.org/wiki/Prague
Reykjavik,Reykjavík,northern,ISK,70.6,82.3,88,87.5,12.5,0,161.88,10,0,8,https://en.wikivoyage.org/wiki/Reykjavik
Riga,Riga,northern,EUR,62.5,62.1,72,55.8,44.2,0,103.23,10,4,8,https://en.wikivoyage.org/wiki/Riga
Rome,Roma,southern,EUR,48.4,46.8,60,71.5,28.5,3,132.28,10,5,8,https://en.wikivoyage.org/wiki/Rome
Sofia,Sofia,eastern,BGN,59.1,58.4,63,47.5,52.5,18,87.88,10,0,8,https://en.wikivoyage.org/wiki/Sofia
Stockholm,Stoccolma,northern,SEK,60.9,54.2,88,79.8,20.2,0,147.63,10,5,8,https://en.wikivoyage.org/wiki/Stockholm
Tallinn,Tallinn,northern,EUR,71.1,76.4,82,61.5,38.5,43,113.78,10,3,8,https://en.wikivoyage.org/wiki/Tallinn
Valletta,La Valletta,southern,EUR,44.8,61.2,35,68.4,31.6,12,126.54,10,0,8,https://en.wikivoyage.org/wiki/Valletta
Vienna,Vienna,western,EUR,67.9,73.2,85,76.9,23.1,0,142.27,10,5,8,https://en.wikivoyage.org/wiki/Vienna
Vilnius,Vilnius,northern,EUR,69.3,71.5,80,56.4,43.6,23,104.34,10,0,8,https://en.wikivoyage.org/wiki/Vilnius
Warsaw,Varsavia,eastern,PLN,69.3,74.8,75,53.2,46.8,0,98.42,10,5,8,https://en.wikivoyage.org/wiki/Warsaw
Zagreb,Zagabria,southern,EUR,67.9,77.1,70,54.8,45.2,30,101.38,10,0,8,https://en.wikivoyage.org/wiki/Zagreb
