City,Hotel_Count,Transport_Text,Hotels_Extracted
AMSTERDAM,6,"From Schiphol Airport. The train station is located directly beneath the airport. From the arrivals hall, walk through Schiphol Plaza to reach the train station.","Gaasper Camping Amsterdam (Off-season from €16.25, from €18.50 during high-season) | A&O Amsterdam Zuidoost (€24) | Campanile Hotel Amsterdam () | Tulip Inn Amsterdam Riverside (€78) | EasyHotel Amsterdam Arena Boulevard (Doubles from €49)"
ATHENS,27,"Transport for Athens (OASA) operates public transportation in Athens. Its subdivisions include STASY and OSY. A single ticket allows you to travel on any types of transport, metro, trams, buses, with unlimited transfers anywhere time within Athens for 90 minutes.","Dionissotis Camping (€6 per person, €4 per small tent, €6 per large tent/caravan) | Athens Backpackers () | Athens Psiri Hotel (€35) | Safestay Athens Monastiraki (€15-50) | Hotel Dioskouros Athens (€15-20 per person in high season)"
BERLIN,21,"The area covered in this guide is expansive, but the most popular attractions are almost all near the Zoologischer Garten train station and the Ku'damm, and thus easily within walking distance. If you want to visit the outlying ones, you may want to use Berlin's excellent public transportation system - the U-Bahn, S-Bahn and the bus networks. West Berlin, unlike East Berlin, had its tram network dismantled and you will find no trams here.","Amstel House Berlin (Four-bedded dorms from €12/person/night. Single and twin rooms en-suite also available) | Gasteiner Hof (Rooms from €30, breakfast included) | Jet Pak City (Double rooms start at €30 per person, sleeping hall starts at €18 per person) | Meininger Hotel Berlin Central Station (Double Rooms start at €39 per person, dormitory starts at €21) | Three Little Pigs Hostel (€13)"
BRATISLAVA,25,"There are no dedicated airport shuttles, however the airport is served as part of the municipal bus network. Use bus No 61 (or N61 at night) for a direct connection to the Central Train Station (Hlavná stanica). Or change for a tram at Trnavské mýto to get to the city (in order to get to the tram stop, use the underpass and the exit marked ""Centrum"" (city ) and take any tram in the direction towards .",Patio Hostel () | Hostel Chors () | Wild Elephants Hostel () | Hotel Arcus () | Aston Business Hotel ()
BRUSSELS,9,,2Go4 Hostel (€20+) | Hostel Jacques Brel () | Citadines Sainte-Catherine Brussels () | Hotel Cafe Pacific (€120+) | Hotel NH Collection Brussels Centre (from €99)
BUCHAREST,41,"Getting there and away: By bus – The Express Bus is usually the best option, as it is inexpensive (50–90 minutes ride) and runs frequently. However, it can get crowded (and it lacks space for luggage) and can get snarled in traffic. The airport bus stop is straight outside Arrivals on the ground floor.",Apartamente Regim Hotelier Bucuresti () | Short Term Apartments Rental () | Camping Casa Alba () | Butterfly Villa Hostel (From /night) | Midland Hostel (from /night)
BUDAPEST,0,"Metro + Bus line 200E Bus line 200E runs between Terminal 2 and Kőbánya-Kispest Metro station, taking 25 min, bus fare Ft500. You there buy a Metro ticket for another Ft500 and ride line 3 to the city centre, about 20 mins to the main interchange at Deák Ferenc tér. The bus runs all day every day, with 7-8 minutes frequency during the day, 30-60 minutes at late night.",
COPENHAGEN,10,"By train It takes 13 minutes to get to Copenhagen Central Station from the airport, and the trains stops at Amager's two other train stations; Tårnby and Ørestad (interchange with Metro line 1) en route. To Malmö Central Station in Sweden it takes 20 minutes. Trains run every 20 minutes throughout the day, and every 10 minutes towards the central station during rush-hour.","Copenhagen Camping () | Danhostel Amager (Dorm beds from 130 kr, Singles from 380 kr) | Dragør Badehotel (Single from 370 kr) | Dragør Fort (Doubles from 695 kr) | House of Colors (580 kr for one person, 680 kr for two, discount for stays of one week or longer)"
DUBLIN,47,"Tickets and Leap Card On trains and trams, tickets can be purchased from ticket vending machines at the station or stop prior to boarding. Train tickets are valid for the day of purchase and are needed to get through the entry and exit turnstiles at stations. Tram tickets do not have to be validated prior to boarding, but must be used within 90 minutes of purchase.","Camac Valley Caravan and Camping Park (Tent €12, hook-up €40) | Abbey Court Hostel (Bunk €35 ppn) | Ashling House (Double (room only) €140) | DCU Summer Rooms () | Latroupe Jacobs Inn (Pod €35 ppn)"
HELSINKI,10,"Getting in is easy as almost all local bus and rail lines end in or pass through the city centre, or at least enable you to get to central Helsinki with just one change, like the buses connecting to metro stations in the eastern suburbs. Moreover the {{markertypegonameHelsinki Central Stationurl is here, the bus station in Kamppi about 500 m from the same and the passenger ports (except Vuosaari) are not far away.",Best Western Hotel Carlton () | Cumulus Kaisaniemi (From €83 off season) | Hobo Hotel () | Hotel Arthur () | Hotel Kämp (Rooms from €120)
LISBON,8,"The Baixa is served by two Lisbon Metro lines: (Blue) and (Green). The two lines meet at Baixa–Chiado station, the system's deepest, at the junction of the Baixa district with the Chiado portion of the Bairro Alto district. Other Baixa stations are Martim Moniz, Restauradores, Rossio, and Terreiro do Paço.",Beira Minho () | Bom Conforto Casa de Hospedes (€20 singles) | Hotel Avenida Palace (Expensive) | Goodnight Backpackers Hostel (€18-20) | Pensão Norte ()
LJUBLJANA,23,"Getting there and away: By bus: Arriva Bus takes 50 min to the main bus and railway station (""Ljubljana AP"", Stand 28), with several stops. It runs every 30 min M-F 05:20-20:10, and Sa Su holidays 06:10–19:10. The fare is €4.10, pay the driver on boarding; cannot pay with the city Urbana card.","Aladin Hostel (Dorm €15) | Celica (Dorm €20) | Hostel Tabor (B&B double €54) | Fluxus Hostel (Dorm €21 ppn) | Most Hostel (Dorm €21 ppn, double €60)"
LONDON,0,"Heathrow Express - Non-stop trains to London Paddington. Departures every 15 minutes from Heathrow Terminal 2 and 3, and Heathrow Terminal 5. Journey time is 15-20 minutes.",
LUXEMBOURG,0,,
MADRID,0,"To and from the airport During the day, Metro a popular best way to reach city centre. Line 8 (pink) runs from Nuevos Ministerios to Terminals 1,2&3, Barajas town (no airport here, don't get off!) and T4. It runs from 06:00 to 01:30, taking 15 min from city to T123 and another 5 min to T4.",
